louvain_seed,raw_q,raw_comm,b3_q,b3_comm,b3_ari,b3_ami,llm_q,llm_comm,llm_ari,llm_ami,llm_minus_b3_ari,llm_minus_b3_ami,llm_beats_b3_ari,llm_beats_b3_ami
0,0.4138835654389695,5,0.21877170757576603,5,0.19945947207258016,0.195694372290806,0.23420901806817868,5,0.20273123917491503,0.22276746370693137,0.0032717671023348716,0.027073091416125378,True,True
1,0.4140898386251818,5,0.21621703639202905,6,0.23870438126666338,0.23382311437479142,0.23715009566397519,5,0.20442263924995527,0.21910473563045293,-0.03428174201670811,-0.014718378744338484,False,False
2,0.4133744972908145,5,0.2097024697717319,5,0.22823753903761812,0.21728036414753885,0.23612936488753927,5,0.19589023387393104,0.21629921640713864,-0.032347305163687085,-0.0009811477404002011,False,False
3,0.413200613841212,5,0.21784293154847703,6,0.19362120139553587,0.18906437076060448,0.2362974960811996,5,0.197904944691793,0.21380091836218418,0.0042837432962571365,0.0247365476015797,True,True
4,0.4127078005044512,5,0.21872224470930426,5,0.19254569876803226,0.19300925431316918,0.23083523395333164,5,0.21916579944328776,0.21296719287532126,0.026620100675255498,0.019957938562152083,True,True
5,0.4135357293371734,5,0.2159168975889922,5,0.19570673458847965,0.20397273084370732,0.23680766132743392,6,0.23339300968997231,0.24417860507560332,0.03768627510149267,0.040205874231896005,True,True
6,0.41303071652582607,5,0.21817433007020426,5,0.17956229137416918,0.18398984328500043,0.23703097740376483,4,0.23186803621874655,0.24336101702034654,0.05230574484457737,0.05937117373534612,True,True
7,0.4133838014654523,5,0.21818205398033955,6,0.19292529296577363,0.19001885701224855,0.23296746041508565,5,0.19838894773776666,0.21958163812997586,0.005463654771993037,0.02956278111772731,True,True
8,0.4122941540382571,5,0.216438921122184,6,0.20789273208338982,0.20742916643720039,0.23619883397414349,5,0.1877891134354156,0.22449565887834758,-0.02010361864797422,0.01706649244114719,False,True
9,0.41330889347828126,5,0.20561843352121412,4,0.22961442572791166,0.21739112817931214,0.23420741316351992,5,0.2532904902074829,0.24403780759531132,0.02367606447957124,0.026646679415999186,True,True
10,0.41301585859959483,5,0.21729466981141202,5,0.21053581145479827,0.21316571752177507,0.23638416793501424,5,0.19408113071436095,0.21979158055003262,-0.016454680740437322,0.006625863028257545,False,True
11,0.412803912669071,5,0.21967377931673296,6,0.20012451568292997,0.1960791893513072,0.23608913539591372,6,0.21263095563631101,0.22308451261643417,0.012506439953381049,0.027005323265126974,True,True
12,0.4135420921580254,5,0.21564529777401378,4,0.2153724006448231,0.21131739420303597,0.23472418940151393,5,0.1818610131736947,0.21184490869238354,-0.03351138747112839,0.0005275144893475692,False,True
13,0.4128501166886129,5,0.2159675384737114,5,0.195880604468396,0.1902799576685832,0.2375738845423236,5,0.19892608411085824,0.22196042014619713,0.00304547964246224,0.03168046247761394,True,True
14,0.4136410627876469,5,0.2180429220658468,5,0.19762735307294002,0.19264860999419772,0.2359137492614503,5,0.21304699133036645,0.2315857598575232,0.015419638257426427,0.03893714986332547,True,True
15,0.4130504715912739,5,0.21636269103800307,7,0.1917044851247998,0.18750776676566525,0.2387565971973485,5,0.19080982699289284,0.20553434820337152,-0.0008946581319069502,0.018026581437706274,False,True
16,0.4130549726837376,5,0.219688980544483,6,0.19195603927317892,0.19140037430564097,0.23513110855799196,5,0.18217846551785988,0.19681179664677367,-0.009777573755319041,0.0054114223411327045,False,True
17,0.4127184443827684,5,0.21680407912498156,6,0.20436351206332454,0.206227742647603,0.23751339740138883,5,0.21547571102020235,0.22822538508291138,0.011112198956877817,0.021997642435308384,True,True
18,0.41367365001967893,5,0.21701526258157067,4,0.18860187217779617,0.18846012202863227,0.23838688035956412,5,0.1945437245406561,0.21500289786451046,0.005941852362859934,0.02654277583587819,True,True
19,0.41386477872245253,5,0.2161312074116698,5,0.1988448206825656,0.1970532037611048,0.2345227818112703,4,0.24336276402646823,0.2548982093961442,0.04451794334390263,0.057845005635039415,True,True
20,0.41329285407213495,5,0.21745372621676928,5,0.2003247497681488,0.19602188464921252,0.2352882850589235,5,0.2195639713614888,0.22913658815103252,0.019239221593340017,0.03311470350182,True,True
21,0.41341653664645084,5,0.21225085502261695,4,0.18537969008202,0.1985418593507743,0.2302265654031174,5,0.21277694381496542,0.22255433606021294,0.027397253732945437,0.024012476709438624,True,True
22,0.4130433619997399,4,0.21948214187974027,6,0.19014388126375628,0.1824149686617175,0.23690986091434035,5,0.1902955860666797,0.2017164260611243,0.0001517048029234247,0.019301457399406807,True,True
23,0.4129074486797135,5,0.21697709695824177,6,0.19837701627495338,0.1978581758120594,0.23572738952607092,5,0.20215069667844132,0.23240511392302776,0.003773680403487939,0.03454693811096837,True,True
24,0.41377162594327954,5,0.21792365895871188,5,0.21447643845498032,0.2188883582819161,0.23503066287140284,5,0.20299382754740594,0.21830806353214235,-0.011482610907574381,-0.0005802947497737521,False,False
25,0.4140006178040187,5,0.21749808638383208,6,0.21881029099852048,0.21290264080029728,0.23825702770949,6,0.21742845034247518,0.2369409849595263,-0.0013818406560452967,0.024038344159229036,False,True
26,0.41320941796215127,5,0.21829753130711546,6,0.19408782150999682,0.18838439924185704,0.23751093957260314,5,0.18752136398275035,0.2053077731781383,-0.0065664575272464665,0.016923373936281266,False,True
27,0.41396836890930183,5,0.21696069699517756,6,0.20991503513267523,0.19601651952741267,0.23573951337860993,7,0.2281620527066409,0.2344380361243868,0.018247017573965657,0.038421516596974126,True,True
28,0.4133125269392,5,0.2183641704821696,4,0.18836351615414632,0.1917866014618847,0.23648236185565502,5,0.20588275444247967,0.22080516196206393,0.01751923828833335,0.02901856050017923,True,True
29,0.4127561565458788,5,0.21487757091120557,4,0.2259664695516176,0.22306016044221347,0.23476977913936609,5,0.18221330781215575,0.21541716192332316,-0.04375316173946184,-0.007642998518890304,False,False
30,0.4129229195605838,5,0.21742097482891878,4,0.2242677971316787,0.24126003720854405,0.23567912718127032,7,0.2675840905985145,0.2630177566944851,0.043316293466835826,0.021757719485941074,True,True
31,0.41319370292284396,4,0.21596813395050385,6,0.198135223511802,0.18606129269675262,0.23819800243052952,5,0.1831891731514421,0.1939830160700127,-0.014946050360359897,0.007921723373260081,False,True
32,0.4142251383813914,5,0.21766377378731186,5,0.20308698639206207,0.20273912165762248,0.23629963174274154,6,0.2145848656335267,0.2332028249305376,0.011497879241464615,0.030463703272915116,True,True
33,0.41300858063133444,5,0.21940187125083782,6,0.21468321249960035,0.212752553592744,0.2343072719682445,5,0.2463108312904424,0.23785961438123798,0.031627618790842055,0.02510706078849398,True,True
34,0.41272973695415177,5,0.21780097086420466,4,0.21752006585393976,0.20749387712070633,0.23514437938587726,5,0.19679174538235633,0.20346600988584962,-0.020728320471583433,-0.004027867234856708,False,False
35,0.4131998709692675,5,0.2198793053947438,7,0.20036180360440506,0.19468657399352426,0.23389342059496016,5,0.19887005744043681,0.21594432337921549,-0.0014917461639682439,0.02125774938569122,False,True
36,0.4125003395028753,5,0.21591798007061355,4,0.21183013253032734,0.20424545343794093,0.23319354149794344,6,0.1804123184038826,0.1897749868709204,-0.03141781412644473,-0.014470466567020529,False,False
37,0.4128185632718124,5,0.21913155917854887,6,0.21161498396622744,0.2080937067781519,0.2341924557810124,5,0.18306830061422638,0.20145676328490816,-0.028546683352001057,-0.00663694349324373,False,False
38,0.41348878082121315,5,0.21798761446387518,6,0.18426272912755506,0.17783823659647774,0.2376072208540911,5,0.1996189091279008,0.20134256487374316,0.015356180000345748,0.023504328277265424,True,True
39,0.4135013769111183,5,0.22027443557886509,7,0.2003570408887101,0.2000822543221357,0.2371620240319834,5,0.20680215872809946,0.21895321883013394,0.006445117839389364,0.018870964507998245,True,True
40,0.4133044977329542,5,0.21817182714585523,4,0.20192937572458947,0.19856004440186553,0.23762426044985602,5,0.19664189943238874,0.21695064293611377,-0.005287476292200721,0.018390598534248237,False,True
41,0.41319562435065044,5,0.216514403852397,5,0.22584537916293362,0.2237483504379549,0.23517570811069816,5,0.22286652791201964,0.23256495092839782,-0.0029788512509139886,0.008816600490442916,False,True
42,0.4131957789193482,5,0.2191672182843821,6,0.21963624834749002,0.220766844245893,0.2352664912639467,5,0.2618764084826976,0.2681389421559759,0.042240160135207594,0.0473720979100829,True,True
43,0.4126783634523331,5,0.21147790466908603,5,0.20386329647510606,0.19763675357893024,0.23871769419107267,6,0.19442908833129066,0.21216820548916573,-0.009434208143815404,0.014531451910235499,False,True
44,0.4136631187174077,5,0.21997030113517366,6,0.21676231034276336,0.21335102350049204,0.23675388186055246,5,0.21743158569200388,0.23096534599405133,0.0006692753492405223,0.017614322493559292,True,True
45,0.41315700301007324,5,0.21691706274639633,5,0.1908543120708895,0.20208921700708027,0.2361729260317273,5,0.22417423487059224,0.23750057914061687,0.03331992279970275,0.0354113621335366,True,True
46,0.4132003213546745,5,0.21342189536861214,5,0.19897006797290384,0.2055019079559718,0.23590027763846727,5,0.20075076519255325,0.2174994208086817,0.0017806972196494075,0.01199751285270989,True,True
47,0.4137086888672082,5,0.21760908289249628,4,0.2079247671466706,0.2031234382099281,0.2377924646423953,5,0.19790936892477493,0.21710621240404848,-0.010015398221895677,0.01398277419412039,False,True
48,0.41270259093827916,5,0.22018241193157836,7,0.2019507246999614,0.20379682597890939,0.23461404107395722,5,0.19657722732535104,0.2034201566665952,-0.005373497374610348,-0.0003766693123141984,False,False
49,0.4136513078982174,5,0.2130092962500366,5,0.23828651055015226,0.2330645038222206,0.2371416183077995,4,0.22063102634014792,0.24217708524391676,-0.017655484210004346,0.009112581421696159,False,True
