seed_id,seed_string,candidate_string,domain,routes,ranks,jaro_winkler_score,tfidf_cosine,embedding_cosine,outside_pool_sample,human_label,context_used,manual_missing_candidate,notes
bio_seed_001,Loranthus micranthus,Lantus,biomedical_diabetes_mellitus,embedding;jaro_winkler;tfidf,"{""embedding"": 19, ""jaro_winkler"": 1, ""tfidf"": 12}",0.79,0.116701,0.32917,False,,,,
bio_seed_001,Loranthus micranthus,tranilast,biomedical_diabetes_mellitus,jaro_winkler,"{""jaro_winkler"": 2}",0.742593,,,False,,,,
bio_seed_001,Loranthus micranthus,late sodium channels,biomedical_diabetes_mellitus,jaro_winkler,"{""jaro_winkler"": 3}",0.734286,,,False,,,,
bio_seed_001,Loranthus micranthus,potassium channels,biomedical_diabetes_mellitus,jaro_winkler,"{""jaro_winkler"": 4}",0.730688,,,False,,,,
bio_seed_001,Loranthus micranthus,anthropometric measures,biomedical_diabetes_mellitus,jaro_winkler;tfidf,"{""jaro_winkler"": 5, ""tfidf"": 7}",0.727717,0.127922,,False,,,,
bio_seed_001,Loranthus micranthus,resource limitations,biomedical_diabetes_mellitus,jaro_winkler,"{""jaro_winkler"": 6}",0.722222,,,False,,,,
bio_seed_001,Loranthus micranthus,urban slums,biomedical_diabetes_mellitus,jaro_winkler,"{""jaro_winkler"": 7}",0.719024,,,False,,,,
bio_seed_001,Loranthus micranthus,Rat,biomedical_diabetes_mellitus,jaro_winkler,"{""jaro_winkler"": 8}",0.716667,,,False,,,,
bio_seed_001,Loranthus micranthus,transcriptome,biomedical_diabetes_mellitus,jaro_winkler,"{""jaro_winkler"": 9}",0.707809,,,False,,,,
bio_seed_001,Loranthus micranthus,endobronchial ultrasound,biomedical_diabetes_mellitus,jaro_winkler,"{""jaro_winkler"": 10}",0.702778,,,False,,,,
bio_seed_001,Loranthus micranthus,flexor sheath infections,biomedical_diabetes_mellitus,jaro_winkler,"{""jaro_winkler"": 11}",0.702778,,,False,,,,
bio_seed_001,Loranthus micranthus,flatbush diabetes,biomedical_diabetes_mellitus,jaro_winkler,"{""jaro_winkler"": 12}",0.70205,,,False,,,,
bio_seed_001,Loranthus micranthus,hospital management,biomedical_diabetes_mellitus,jaro_winkler,"{""jaro_winkler"": 13}",0.701147,,,False,,,,
bio_seed_001,Loranthus micranthus,nontraumatic,biomedical_diabetes_mellitus,jaro_winkler,"{""jaro_winkler"": 14}",0.70101,,,False,,,,
bio_seed_001,Loranthus micranthus,nasal reconstruction,biomedical_diabetes_mellitus,jaro_winkler,"{""jaro_winkler"": 15}",0.7,,,False,,,,
bio_seed_001,Loranthus micranthus,os,biomedical_diabetes_mellitus,jaro_winkler,"{""jaro_winkler"": 16}",0.7,,,False,,,,
bio_seed_001,Loranthus micranthus,tracheal rupture,biomedical_diabetes_mellitus,jaro_winkler,"{""jaro_winkler"": 17}",0.7,,,False,,,,
bio_seed_001,Loranthus micranthus,ventricular thrombus,biomedical_diabetes_mellitus,jaro_winkler,"{""jaro_winkler"": 18}",0.7,,,False,,,,
bio_seed_001,Loranthus micranthus,Migrants,biomedical_diabetes_mellitus,tfidf,"{""tfidf"": 1}",,0.188896,,False,,,,
bio_seed_001,Loranthus micranthus,Anthropometric,biomedical_diabetes_mellitus,tfidf,"{""tfidf"": 2}",,0.15256,,False,,,,
bio_seed_001,Loranthus micranthus,parvimonas micra,biomedical_diabetes_mellitus,embedding;tfidf,"{""embedding"": 4, ""tfidf"": 3}",,0.142572,0.3905,False,,,,
bio_seed_001,Loranthus micranthus,xanthelasma,biomedical_diabetes_mellitus,tfidf,"{""tfidf"": 4}",,0.140735,,False,,,,
bio_seed_001,Loranthus micranthus,kinanthropometry,biomedical_diabetes_mellitus,tfidf,"{""tfidf"": 5}",,0.129749,,False,,,,
bio_seed_001,Loranthus micranthus,acanthosis nigricans,biomedical_diabetes_mellitus,tfidf,"{""tfidf"": 6}",,0.129086,,False,,,,
bio_seed_001,Loranthus micranthus,microRNA,biomedical_diabetes_mellitus,tfidf,"{""tfidf"": 8}",,0.124716,,False,,,,
bio_seed_001,Loranthus micranthus,anthropometric parameters,biomedical_diabetes_mellitus,tfidf,"{""tfidf"": 9}",,0.124555,,False,,,,
bio_seed_001,Loranthus micranthus,microRNAs,biomedical_diabetes_mellitus,tfidf,"{""tfidf"": 10}",,0.120315,,False,,,,
bio_seed_001,Loranthus micranthus,micro RNA,biomedical_diabetes_mellitus,tfidf,"{""tfidf"": 11}",,0.119074,,False,,,,
bio_seed_001,Loranthus micranthus,tuberculosis in immigrants,biomedical_diabetes_mellitus,tfidf,"{""tfidf"": 13}",,0.110715,,False,,,,
bio_seed_001,Loranthus micranthus,Microbiota,biomedical_diabetes_mellitus,tfidf,"{""tfidf"": 14}",,0.108636,,False,,,,
bio_seed_001,Loranthus micranthus,microangiopathy,biomedical_diabetes_mellitus,tfidf,"{""tfidf"": 15}",,0.10786,,False,,,,
bio_seed_001,Loranthus micranthus,intracranial infection,biomedical_diabetes_mellitus,tfidf,"{""tfidf"": 16}",,0.106194,,False,,,,
