	Circular economy	Sustainability	Recycling	Environmental sustainability	Waste management	Life cycle assessment	Plastic waste	Wastewater	Resource recovery	industrial ecology	Industry 4.0	Anaerobic digestion	Material flow analysis	Waste	Biomass	Reuse	Bioeconomy	Municipal solid waste	Business model	Remanufacturing	Food waste	Construction	Renewable energy	Biorefinery	Agriculture	Wastewater treatment	Composting	Pyrolysis	Nutrient recovery	Circular business models	Climate change	Biochar	Adsorption	Resource efficiency	Sustainable development goals	Biogas	Industrial symbiosis	Waste valorization	Bibliometric analysis	CO<sub>2</sub> emissions	LCA	Waste-to-energy	Innovation	Food supply chain	by-products	Barriers	Construction and demolition waste	Supply chain	End-of-life	Valorization	Biofuels	E-waste	Microalgae	Mechanical properties	Greenhouse gas emissions	Bioenergy	Hydrogen	Closed-loop supply chain	Critical raw materials	Lithium-ion batteries	Sewage sludge	Reverse logistics	Digitalization	polyphenols	Decision-making	Machine learning	Circular supply chain	Heavy metals	Biodegradable	Systematic literature review	bioactive compounds	COVID-19	Textile waste	Bioplastics	Packaging	Literature review	Product-service system	Biowaste	China	Chemical recycling	Indicators	Techno-economic analysis	Recovery	Energy	Biopolymers	Carbon footprint	Lignocellulosic biomass	3D printing	antioxidants	Supply chain management	Case study	Additive manufacturing	Upcycling	Electric vehicles	Waste recycling	Policy	Eco-design	Optimization	Green chemistry	Consumer behavior
Municipal solid waste	202	48	54	19	61	18	6	9	5	8	5	15	7	3	6	1	1	0	0	0	4	1	9	2	4	1	13	9	1	0	3	0	0	1	9	4	0	3	3	2	2	37	1	0	0	3	1	0	5	2	2	1	0	0	6	7	0	0	1	0	0	1	1	1	1	7	0	1	2	1	0	4	4	1	2	1	0	7	4	1	1	2	4	2	0	0	0	0	0	0	3	0	0	0	3	6	0	1	0	1
Business model	295	132	16	18	8	4	2	0	3	5	10	2	3	2	0	4	15	0	0	11	3	7	6	0	1	0	0	0	0	41	2	0	0	9	9	2	1	1	8	1	0	1	19	4	0	9	0	13	1	0	0	2	0	0	1	0	0	3	0	3	0	1	11	0	3	2	8	0	0	7	0	1	2	0	0	8	16	1	1	0	0	0	0	0	0	0	0	2	0	4	11	1	2	3	0	4	0	1	0	1
Remanufacturing	271	94	31	19	6	12	5	2	1	6	27	0	6	4	0	27	0	0	11	0	0	1	0	0	1	0	2	0	0	11	1	0	0	7	3	0	2	0	4	0	0	0	3	0	4	6	1	6	8	0	0	6	0	0	0	0	0	31	1	6	0	11	4	0	11	3	2	0	0	3	0	1	1	0	0	5	9	0	2	1	2	0	1	1	0	0	0	2	0	6	8	9	3	5	0	4	2	2	0	4
Food waste	217	74	7	19	20	18	2	5	8	3	1	42	2	1	4	1	14	4	3	0	0	1	4	14	4	1	13	3	6	0	0	4	0	3	3	14	3	6	9	0	5	5	2	16	2	0	0	7	0	9	4	1	5	1	2	3	2	0	0	1	2	0	0	0	0	0	0	2	2	5	6	4	1	5	2	3	0	10	0	0	0	5	1	2	1	2	1	0	3	2	2	0	5	0	2	4	0	1	4	3
Construction	263	82	36	16	25	26	2	8	7	8	6	1	16	11	3	18	0	1	7	1	1	0	0	0	0	1	1	1	1	3	5	2	1	7	0	0	3	2	8	6	4	0	4	0	2	10	18	4	5	1	0	0	0	0	3	0	0	0	0	0	1	4	4	0	2	4	0	1	0	6	0	1	0	0	1	7	4	0	0	0	2	0	1	3	0	1	0	1	0	2	3	1	1	0	1	3	2	2	0	1
Renewable energy	208	85	18	27	20	13	4	2	5	6	2	17	1	5	16	3	6	9	6	0	4	0	0	7	8	2	1	3	1	3	13	1	0	3	5	21	1	2	3	10	2	15	2	3	2	0	0	0	3	0	15	2	3	0	9	13	1	0	4	1	2	0	2	0	3	2	0	0	0	2	0	1	1	2	0	2	1	1	3	0	1	0	1	2	2	1	1	0	0	0	0	2	1	2	1	0	1	2	0	0
Biorefinery	178	48	5	6	6	21	1	7	4	0	2	16	0	12	28	0	21	2	0	0	14	0	7	0	3	6	0	5	3	1	0	4	1	0	3	17	0	9	1	0	4	1	1	2	5	0	0	0	0	9	28	0	12	0	2	17	6	0	0	0	5	0	0	4	2	2	0	1	1	0	4	1	0	5	0	0	0	7	0	0	1	15	1	6	9	3	20	0	6	0	0	0	1	0	0	2	1	3	6	0
Agriculture	187	76	6	21	19	7	3	15	1	3	3	13	0	10	12	3	17	4	1	1	4	0	8	3	0	5	10	3	13	0	3	10	3	0	3	9	1	2	3	1	2	2	2	9	1	4	0	3	1	1	2	1	5	3	6	7	3	1	1	0	4	0	2	1	2	1	0	0	1	0	1	4	2	4	2	1	0	2	2	0	1	1	1	3	2	0	5	2	1	0	1	0	1	0	4	2	1	1	1	0
Wastewater treatment	160	30	1	12	6	6	1	11	34	4	1	10	2	2	7	6	2	1	0	0	1	1	2	6	5	0	0	6	19	0	3	4	20	0	1	7	1	2	1	6	1	7	1	1	1	0	2	0	0	1	2	1	22	0	0	1	1	0	0	0	15	0	0	1	1	1	1	11	0	0	0	0	0	1	0	0	0	1	0	0	1	2	0	1	2	2	0	0	0	0	1	0	2	0	2	0	0	0	0	0
Composting	129	32	38	10	21	10	6	5	1	1	0	22	3	9	3	2	2	13	0	2	13	1	1	0	10	0	0	7	7	0	1	7	4	0	1	2	0	7	0	1	4	4	0	2	0	0	0	0	1	2	1	0	2	15	3	0	1	0	0	0	9	0	0	2	0	1	0	3	11	0	0	0	3	8	1	1	0	8	0	2	0	1	1	0	5	1	0	3	1	0	1	6	2	0	1	0	1	2	0	0
Pyrolysis	118	20	18	10	18	14	41	9	2	1	0	13	1	4	13	0	3	9	0	0	3	1	3	5	3	6	7	0	3	0	0	43	8	0	2	3	2	9	0	7	5	13	0	3	1	0	0	0	7	2	8	1	1	0	1	0	6	1	0	0	8	0	0	5	0	1	0	3	1	0	0	3	2	2	0	0	0	1	0	23	0	3	2	2	1	1	4	0	2	0	0	0	2	1	1	0	1	3	1	0
Nutrient recovery	172	23	6	8	8	7	0	26	18	1	0	28	2	3	4	0	4	1	0	0	6	1	1	3	13	19	7	3	0	1	5	8	5	2	1	2	0	6	0	1	2	1	2	0	1	0	0	0	0	1	2	1	11	0	2	7	1	0	0	0	14	0	1	0	2	4	0	5	1	0	0	0	0	0	0	0	0	4	0	0	1	2	3	4	0	1	0	0	0	0	0	0	1	0	0	1	0	2	0	0
Circular business models	237	98	4	8	1	5	3	0	4	7	9	0	2	1	0	3	5	0	41	11	0	3	3	1	0	0	0	0	1	0	1	0	0	6	1	2	3	0	2	0	2	0	3	1	0	9	2	7	0	0	1	0	0	0	0	1	0	5	1	3	0	2	5	0	0	0	9	0	0	4	0	1	1	0	0	7	17	0	1	0	2	2	0	0	0	0	0	1	0	2	6	1	3	4	1	2	2	0	0	3
Climate change	181	78	12	33	10	26	6	4	11	2	1	4	5	7	4	2	7	3	2	1	0	5	13	0	3	3	1	0	5	1	0	3	0	2	12	1	0	1	2	10	4	1	5	1	1	1	0	0	0	0	5	0	4	0	16	3	1	0	1	0	0	2	3	1	0	1	0	0	0	2	0	7	2	0	2	1	0	0	7	0	0	1	0	3	0	4	0	1	0	2	0	0	0	2	1	2	0	0	0	1
Biochar	105	26	4	10	4	8	1	8	2	0	0	19	1	9	16	1	1	0	0	0	4	2	1	4	10	4	7	43	8	0	3	0	30	1	2	5	0	3	2	2	2	1	0	3	0	0	0	0	0	4	5	0	2	1	3	5	5	1	1	0	9	0	0	1	0	1	0	8	2	0	0	0	0	1	0	0	0	2	0	0	0	4	1	2	2	0	2	0	2	0	1	0	0	0	1	0	0	1	1	0
Adsorption	91	8	1	6	6	1	4	17	9	1	1	2	0	3	11	5	0	0	0	0	0	1	0	1	3	20	4	8	5	0	0	30	0	0	1	2	0	5	1	2	0	1	0	1	2	0	1	0	0	4	0	1	1	0	1	0	1	0	1	1	2	0	0	1	0	2	0	26	0	0	0	0	1	0	0	0	0	4	0	1	0	0	4	0	1	0	0	0	0	0	0	1	0	0	2	0	0	1	1	0
Resource efficiency	205	87	24	25	23	21	4	1	1	12	4	1	14	1	1	13	5	1	9	7	3	7	3	0	0	0	0	0	2	6	2	1	0	0	4	0	7	2	0	1	1	1	3	1	0	2	3	4	2	0	0	1	0	1	4	0	0	1	0	1	0	0	4	0	3	0	0	0	0	0	0	0	1	0	2	3	10	0	6	0	3	1	0	0	0	1	0	1	0	0	2	1	0	0	2	6	7	1	1	2
Sustainable development goals	162	57	9	21	16	5	1	6	4	5	14	2	3	0	4	2	9	9	9	3	3	0	5	3	3	1	1	2	1	1	12	2	1	4	0	2	1	3	9	0	1	1	3	1	0	1	2	1	1	1	4	1	2	0	3	2	0	0	2	1	0	3	3	0	3	3	1	1	1	2	1	3	0	0	0	2	0	1	1	0	3	1	0	1	2	1	1	0	1	0	2	1	1	1	1	3	0	0	1	0
Biogas	133	25	2	4	16	10	1	8	2	3	0	71	2	5	10	2	6	4	2	0	14	0	21	17	9	7	2	3	2	2	1	5	2	0	2	0	2	3	2	3	7	11	1	1	0	1	0	1	0	0	9	0	3	0	4	14	6	0	0	0	4	0	0	1	0	1	0	1	3	0	0	0	1	0	0	0	0	10	1	0	1	2	1	8	0	3	4	0	0	1	0	0	0	0	0	0	1	3	0	0
Industrial symbiosis	193	60	13	6	14	9	2	5	7	36	6	2	2	6	1	3	2	0	1	2	3	3	1	0	1	1	0	2	0	3	0	0	0	7	1	2	0	3	2	1	4	3	3	3	6	7	1	4	1	1	3	1	0	1	0	1	0	1	1	0	0	0	0	0	2	0	2	0	0	2	0	1	0	1	0	3	1	0	2	0	1	0	3	4	1	0	0	1	0	1	7	2	2	0	1	1	3	4	1	1
Waste valorization	130	42	10	12	9	15	5	6	5	3	0	7	0	0	5	2	4	3	1	0	6	2	2	9	2	2	7	9	6	0	1	3	5	2	3	3	3	0	0	6	3	9	1	2	3	0	0	0	1	0	5	1	0	0	0	6	3	0	0	1	2	0	1	4	0	1	0	3	2	0	3	1	1	5	1	0	0	2	0	1	0	1	3	0	4	1	2	3	2	0	1	1	0	0	2	0	0	3	4	0
Bibliometric analysis	137	90	6	16	12	3	3	3	6	4	10	0	0	3	1	1	5	3	8	4	9	8	3	1	3	1	0	0	0	2	2	2	1	0	9	2	2	0	0	0	1	2	2	6	1	1	2	6	0	0	2	0	3	0	0	0	1	2	1	0	0	1	5	0	1	2	2	2	0	15	2	2	1	1	1	15	1	0	2	0	0	0	3	2	0	0	0	0	0	9	0	0	0	0	0	0	1	0	0	2
CO<sub>2</sub> emissions	110	23	10	9	5	11	5	7	3	5	0	2	1	2	14	0	3	2	1	0	0	6	10	0	1	6	1	7	1	0	10	2	2	1	0	3	1	6	0	0	1	10	0	0	0	0	5	0	2	2	5	1	6	2	3	1	3	0	0	0	1	0	1	0	0	2	0	2	0	0	0	3	0	0	0	0	0	0	2	0	0	3	0	3	2	1	0	1	0	0	0	0	0	0	0	1	0	3	0	0
LCA	147	58	27	30	9	23	13	6	5	4	1	5	10	2	0	5	3	2	0	0	5	4	2	4	2	1	4	5	2	2	4	2	0	1	1	7	4	3	1	1	0	2	0	0	3	1	0	1	4	0	2	1	0	1	0	2	1	0	1	1	2	0	1	1	4	0	0	0	1	0	0	1	3	1	5	2	1	1	1	1	4	5	1	2	0	6	1	0	1	0	1	1	1	3	0	2	5	0	1	0
Waste-to-energy	147	50	13	12	28	19	2	6	2	3	2	21	5	7	13	0	3	37	1	0	5	0	15	1	2	7	4	13	1	0	1	1	1	1	1	11	3	9	2	10	2	0	0	1	0	0	0	3	2	3	11	2	0	0	3	3	1	0	0	0	7	0	0	0	1	0	1	0	0	1	0	2	0	0	1	0	0	2	0	2	0	3	1	2	0	0	1	0	0	0	0	0	0	0	2	2	0	1	1	0
Innovation	158	101	9	18	4	0	3	0	4	4	9	1	0	1	1	0	12	1	19	3	2	4	2	1	2	1	0	0	2	3	5	0	0	3	3	1	3	1	2	0	0	0	0	1	0	2	0	1	0	0	1	0	2	0	0	0	0	2	0	0	0	3	7	0	1	1	0	0	1	1	0	1	3	1	2	1	2	0	1	1	2	0	1	3	0	0	0	1	0	2	2	0	1	1	0	6	0	1	0	0
Food supply chain	141	65	2	10	4	8	0	2	3	3	7	2	2	3	3	1	4	0	4	0	16	0	3	2	9	1	2	3	0	1	1	3	1	1	1	1	3	2	6	0	0	1	1	0	5	5	0	5	0	8	4	0	1	1	0	5	1	5	0	0	1	2	4	4	1	1	1	0	1	4	4	4	1	2	2	3	0	0	0	0	2	0	0	1	4	1	1	1	3	2	5	0	1	0	0	1	0	1	0	1
by-products	107	30	12	5	3	5	0	4	0	2	0	2	1	4	6	7	2	0	0	4	2	2	2	5	1	1	0	1	1	0	1	0	2	0	0	0	6	3	1	0	3	0	0	5	0	1	0	1	1	11	1	0	0	0	0	3	1	5	0	0	1	3	0	11	3	0	0	0	0	3	8	0	1	0	0	0	0	4	0	0	0	1	0	0	1	0	0	0	11	1	1	0	4	0	0	0	0	0	2	0
Barriers	182	65	4	4	8	0	3	3	1	3	8	0	1	1	0	1	0	3	9	6	0	10	0	0	4	0	0	0	0	9	1	0	0	2	1	1	7	0	1	0	1	0	2	5	1	0	3	5	2	0	0	2	0	0	0	0	0	5	1	1	0	3	1	0	1	0	15	0	0	9	0	1	2	0	1	1	2	0	3	0	3	0	0	0	0	0	0	0	0	2	4	0	3	3	0	1	2	0	0	0
Construction and demolition waste	138	30	50	9	26	22	1	2	2	1	1	0	6	3	0	9	0	1	0	1	0	18	0	0	0	2	0	0	0	2	0	0	1	3	2	0	1	0	2	5	0	0	0	0	0	3	0	1	1	0	0	0	0	5	1	0	0	0	0	0	0	1	1	0	3	2	0	1	0	2	0	0	0	0	0	3	0	1	5	0	2	0	0	1	0	0	0	1	0	2	2	0	2	0	5	2	0	0	0	1
Supply chain	154	62	11	8	9	5	5	0	1	0	19	0	3	5	1	4	3	0	13	6	7	4	0	0	3	0	0	0	0	7	0	0	0	4	1	1	4	0	6	0	1	3	1	5	1	5	1	0	0	1	2	2	0	0	3	2	1	4	5	2	0	7	3	0	1	2	7	0	0	5	0	10	2	2	1	5	2	0	0	0	1	1	1	1	0	1	1	2	0	1	2	0	0	1	0	1	0	5	0	2
End-of-life	143	23	49	8	18	18	5	2	4	0	1	0	8	4	0	9	2	5	1	8	0	5	3	0	1	0	1	7	0	0	0	0	0	2	1	0	1	1	0	2	4	2	0	0	1	2	1	0	0	0	0	5	0	0	1	0	1	3	5	7	0	5	0	0	1	1	0	1	2	1	0	0	0	3	0	2	2	0	0	3	0	0	3	0	0	1	1	0	0	1	0	0	0	4	0	1	2	2	0	3
Valorization	89	34	6	5	9	2	6	7	3	3	0	3	0	7	3	1	1	2	0	0	9	1	0	9	1	1	2	2	1	0	0	4	4	0	1	0	1	0	0	2	0	3	0	8	11	0	0	1	0	0	7	0	3	1	1	5	1	0	0	0	2	0	0	4	0	0	0	2	0	0	10	0	1	3	1	0	0	6	0	0	0	0	3	5	1	0	4	1	1	0	0	0	1	0	0	1	0	1	3	1
Biofuels	90	33	1	6	6	6	2	8	1	1	0	14	0	3	23	1	9	2	0	0	4	0	15	28	2	2	1	8	2	1	5	5	0	0	4	9	3	5	2	5	2	11	1	4	1	0	0	2	0	7	0	0	12	0	0	13	4	0	0	0	2	0	0	0	2	1	0	0	0	0	4	0	0	4	0	0	0	3	0	0	0	4	2	2	2	2	11	0	0	1	1	0	0	1	3	0	0	2	2	0
E-waste	111	38	47	11	12	1	3	2	3	4	0	0	6	2	1	3	0	1	2	6	1	0	2	0	1	1	0	1	1	0	0	0	1	1	1	0	1	1	0	1	1	2	0	0	0	2	0	2	5	0	0	0	0	0	0	0	0	2	8	1	0	6	2	0	1	0	3	1	0	0	0	0	0	1	0	0	0	1	2	1	0	1	3	0	0	1	0	0	0	1	2	0	1	1	0	0	0	1	1	3
Microalgae	75	18	1	4	2	3	0	30	6	1	0	12	0	0	10	0	5	0	0	0	5	0	3	12	5	22	2	1	11	0	4	2	1	0	2	3	0	0	3	6	0	0	2	1	0	0	0	0	0	3	12	0	0	0	3	3	3	0	0	0	1	0	0	0	0	3	0	1	2	0	1	0	0	5	1	0	0	1	0	0	0	1	1	0	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Mechanical properties	53	27	29	3	6	2	6	3	0	2	0	2	1	4	1	0	1	0	0	0	1	0	0	0	3	0	15	0	0	0	0	1	0	1	0	0	1	0	0	2	1	0	0	1	0	0	5	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	6	0	1	0	0	4	1	0	0	0	0	1	0	0	0	0	2	1	2	4	1	0	0	4	2	0	3	0	0	1	1	0
Greenhouse gas emissions	95	29	12	10	10	32	9	1	3	5	1	7	3	3	4	3	7	6	1	0	2	3	9	2	6	0	3	1	2	0	16	3	1	4	3	4	0	0	0	3	0	3	0	0	0	0	1	3	1	1	0	0	3	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	1	2	2	0	3	1	5	2	0	0	0	1	1	1	2	0	0	0	0	0	0
Bioenergy	98	28	2	3	5	14	0	6	5	0	0	25	0	4	24	0	15	7	0	0	3	0	13	17	7	1	0	0	7	1	3	5	0	0	2	14	1	6	0	1	2	3	0	5	3	0	0	2	0	5	13	0	3	0	0	0	3	0	0	0	0	0	0	0	2	1	0	0	1	2	2	0	0	1	0	0	0	3	1	0	0	2	0	1	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0
Hydrogen	48	18	5	5	2	6	8	2	2	0	0	4	1	5	8	0	2	0	0	0	2	0	1	6	3	1	1	6	1	0	1	5	1	0	0	6	0	3	1	3	1	1	0	1	1	0	0	1	1	1	4	0	3	0	0	3	0	0	0	0	1	0	0	2	0	0	0	0	3	0	2	0	0	2	0	0	0	1	0	4	0	4	1	4	2	0	4	1	0	0	0	0	5	0	0	0	0	1	2	0
Closed-loop supply chain	118	52	4	5	7	0	2	0	1	4	5	1	0	1	0	2	0	0	3	31	0	0	0	0	1	0	0	1	0	5	0	1	0	1	0	0	1	0	2	0	0	0	2	5	5	5	0	4	3	0	0	2	0	0	1	0	0	0	0	3	0	17	2	0	1	0	12	0	0	5	0	0	0	0	0	8	2	0	0	0	0	0	0	0	0	0	0	1	0	11	2	0	0	1	0	0	1	0	0	1
Critical raw materials	120	22	40	4	5	2	0	2	7	6	0	0	10	0	0	3	1	1	0	1	0	0	4	0	1	0	0	0	0	1	1	1	1	0	2	0	1	0	1	0	1	0	0	0	0	1	0	5	5	0	0	8	0	0	0	0	0	0	0	8	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	8	1	0	0	0	0	0	0	0	1	0	7	1	1	2	0	2	0
Lithium-ion batteries	107	25	47	8	7	4	0	3	3	3	1	0	7	0	1	5	0	0	3	6	1	0	1	0	0	0	0	0	0	3	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	2	7	0	0	1	0	0	0	0	0	3	8	0	0	2	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	1	5	1	0	1	0	0	0	0	0	0	0	31	0	2	2	1	1	0
Sewage sludge	80	11	4	4	7	5	3	12	9	0	0	17	1	2	3	0	1	0	0	0	2	1	2	5	4	15	9	8	14	0	0	9	2	0	0	4	0	2	0	1	2	7	0	1	1	0	0	0	0	2	2	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	4	1	0	0	1	0	0	0	1	0	4	0	0	1	1	1	3	2	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0
Reverse logistics	124	41	12	4	12	1	3	1	4	0	10	0	0	2	0	3	0	1	1	11	0	4	0	0	0	0	0	0	0	2	2	0	0	0	3	0	0	0	1	0	0	0	3	2	3	3	1	7	5	0	0	6	0	0	0	0	0	17	0	2	0	0	1	0	5	0	1	0	0	4	0	0	0	0	3	4	0	0	0	1	0	0	2	0	0	1	0	0	0	9	2	0	0	2	0	1	0	1	0	2
Digitalization	111	48	5	7	8	3	2	2	5	3	32	0	3	2	0	1	1	1	11	4	0	4	2	0	2	0	0	0	1	5	3	0	0	4	3	0	0	1	5	1	1	0	7	4	0	1	1	3	0	0	0	2	0	0	1	0	0	2	1	0	0	1	0	0	2	3	2	0	0	0	0	4	0	0	1	1	7	0	1	0	0	0	1	0	0	1	0	0	0	0	4	0	0	0	1	1	1	0	0	1
polyphenols	78	10	11	0	3	4	11	2	1	0	0	0	0	4	1	1	1	1	0	0	0	0	0	4	1	1	2	5	0	0	1	1	1	0	0	1	0	4	0	0	1	0	0	4	11	0	0	0	0	4	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	1	0	8	0	1	1	0	0	0	0	0	15	0	0	0	1	0	0	0	0	1	5	0
Decision-making	108	44	7	5	13	3	2	6	4	3	8	1	3	3	0	1	0	1	3	11	0	2	3	2	2	1	0	0	2	0	0	0	0	3	3	0	2	0	1	0	4	1	1	1	3	1	3	1	1	0	2	1	0	0	0	2	0	1	2	2	2	5	2	0	0	4	1	0	0	3	0	0	0	0	0	1	2	4	0	0	2	0	1	1	0	0	0	0	0	2	0	0	0	1	0	1	1	3	0	2
